dv,group_a,n_a,mean_a,sd_a,group_b,n_b,mean_b,sd_b,t,p_val,cohens_d,ci_low,ci_high,posthoc_power
empathy,ref_emp,151,5.3907284768211925,1.6851251582944802,comply,153,3.2222222222222223,1.8645664877216106,10.641120516851839,1.2089098790425114e-22,1.2198344022337104,0.9263410566826661,1.4964625365102666,
empathy,ref_emp,151,5.3907284768211925,1.6851251582944802,ref_con,173,4.861271676300578,1.7163213098233003,2.7969728138156995,0.005472997471775787,0.3111047751708516,0.08629371208018188,0.5332343573110593,0.7953652118052673
empathy,comply,153,3.2222222222222223,1.8645664877216106,ref_con,173,4.861271676300578,1.7163213098233003,-8.220932898491402,5.54281776220463e-15,-0.9170019706318376,-1.1657453668010307,-0.6742036348752478,0.9999999998287858
