dv,group_a,n_a,mean_a,sd_a,group_b,n_b,mean_b,sd_b,t,p_val,cohens_d,ci_low,ci_high,posthoc_power
blame,ref_emp,151,2.251655629139073,1.5065127194788086,comply,153,3.3790849673202614,1.7918181590500415,-5.940859143464894,7.98586758580439e-09,-0.6807060504635238,-0.9252823256492244,-0.4308295513509271,0.9999617660251647
blame,ref_emp,151,2.251655629139073,1.5065127194788086,ref_con,173,2.2716763005780347,1.6569641858574198,-0.11389278687166904,0.9093938833310627,-0.012602302922959144,-0.2273822689897765,0.20282104441456691,0.051459379567915534
blame,comply,153,3.3790849673202614,1.7918181590500415,ref_con,173,2.2716763005780347,1.6569641858574198,5.768495892375037,1.9289030055092834e-08,0.6432644598329581,0.4068596233952878,0.8884909656014797,0.9999330212268436
