dv,group_a,n_a,mean_a,sd_a,group_b,n_b,mean_b,sd_b,t,p_val,cohens_d,ci_low,ci_high,posthoc_power
trust,ref_emp,151,6.112582781456954,1.2411985946797066,comply,153,2.843137254901961,1.5479938080371518,20.329295267447936,1.0153005038143635e-57,2.328637220698418,1.9221334647316468,2.738250437354822,1.0
trust,ref_emp,151,6.112582781456954,1.2411985946797066,ref_con,173,6.202312138728324,1.2982973535681368,-0.6353455892723895,0.5256580632097876,-0.07054097810879602,-0.29236864462494466,0.14449837691228795,0.096793318506776
trust,comply,153,2.843137254901961,1.5479938080371518,ref_con,173,6.202312138728324,1.2982973535681368,-21.075177996351584,5.340168736160184e-61,-2.3640953911318765,-2.787899530248753,-1.9435133255221009,
